snoring_rate,respiration_rate,body_temperature,limb_movement,blood_oxygen,eye_movement,sleeping_hours,heart_rate,stress_level
74.24,21.424,93.424,11.424,91.424,92.12,4.136,63.56,2
52.16,18.432,94.432,8.432,92.648,81.08,5.432,56.08,1
87.8,24.08,91.04,14.6,89.04,97.6,1.04,70.2,3
50.32,18.064,94.064,8.064,92.096,80.16,5.064,55.16,1
57.84,19.568,95.568,9.568,94.352,83.92,6.568,58.92,1
97.312,27.312,86.64,17.656,83.968,101.64,0,78.28,4
88.16,24.176,91.088,14.72,89.088,97.72,1.088,70.44,3
59.36,19.872,95.872,9.872,94.808,84.68,6.872,59.68,1
59.92,19.984,95.984,9.984,94.976,84.96,6.984,59.96,1
46.88,16.752,97.128,5.504,95.752,67.52,7.752,51.88,0
48.28,17.312,97.968,6.624,96.312,73.12,8.312,53.28,0
92.6,25.36,91.68,16.2,89.68,99.2,1.68,73.4,3
55.6,19.12,95.12,9.12,93.68,82.8,6.12,57.8,1
84.32,23.152,90.576,13.44,88.576,96.44,0.576,67.88,3
65.28,20.528,92.528,10.528,90.528,87.64,2.792,61.32,2
98.464,28.464,88.08,18.232,85.696,103.08,0,81.16,4
69.6,20.96,92.96,10.96,90.96,89.8,3.44,62.4,2
73.92,21.392,93.392,11.392,91.392,91.96,4.088,63.48,2
61.76,20.176,92.176,10.176,90.176,85.88,2.264,60.44,2
53.28,18.656,94.656,8.656,92.984,81.64,5.656,56.64,1
59.44,19.888,95.888,9.888,94.832,84.72,6.888,59.72,1
99.264,29.264,89.08,18.632,86.896,104.08,0,83.16,4
85.76,23.536,90.768,13.92,88.768,96.92,0.768,68.84,3
46.56,16.624,96.936,5.248,95.624,66.24,7.624,51.56,0
96.032,26.032,85.04,17.016,82.048,100.04,0,75.08,4
79.84,21.984,93.984,11.984,91.984,94.92,4.976,64.96,2
52,18.4,94.4,8.4,92.6,81,5.4,56,1
49.48,17.792,98.688,7.584,96.792,77.92,8.792,54.48,0
59.68,19.936,95.936,9.936,94.904,84.84,6.936,59.84,1
89.72,24.592,91.296,15.24,89.296,98.24,1.296,71.48,3
79.52,21.952,93.952,11.952,91.952,94.76,4.928,64.88,2
68.32,20.832,92.832,10.832,90.832,89.16,3.248,62.08,2
96.16,26.16,85.2,17.08,82.24,100.2,0,75.4,4
49.2,17.68,98.52,7.36,96.68,76.8,8.68,54.2,0
88.52,24.272,91.136,14.84,89.136,97.84,1.136,70.68,3
98.336,28.336,87.92,18.168,85.504,102.92,0,80.84,4
48.56,17.424,98.136,6.848,96.424,74.24,8.424,53.56,0
58.48,19.696,95.696,9.696,94.544,84.24,6.696,59.24,1
45.24,16.096,96.144,4.192,95.096,60.96,7.096,50.24,0
96.064,26.064,85.08,17.032,82.096,100.08,0,75.16,4
54.88,18.976,94.976,8.976,93.464,82.44,5.976,57.44,1
98.24,28.24,87.8,18.12,85.36,102.8,0,80.6,4
48.96,17.584,98.376,7.168,96.584,75.84,8.584,53.96,0
46.2,16.48,96.72,4.96,95.48,64.8,7.48,51.2,0
56.64,19.328,95.328,9.328,93.992,83.32,6.328,58.32,1
83.12,22.832,90.416,13.04,88.416,96.04,0.416,67.08,3
74.4,21.44,93.44,11.44,91.44,92.2,4.16,63.6,2
54.08,18.816,94.816,8.816,93.224,82.04,5.816,57.04,1
53.52,18.704,94.704,8.704,93.056,81.76,5.704,56.76,1
93.08,25.488,91.744,16.36,89.744,99.36,1.744,73.72,3
97.696,27.696,87.12,17.848,84.544,102.12,0,79.24,4
51.6,18.32,94.32,8.32,92.48,80.8,5.32,55.8,1
47.88,17.152,97.728,6.304,96.152,71.52,8.152,52.88,0
72.16,21.216,93.216,11.216,91.216,91.08,3.824,63.04,2
94.16,25.776,91.888,16.72,89.888,99.72,1.888,74.44,3
78.56,21.856,93.856,11.856,91.856,94.28,4.784,64.64,2
98.816,28.816,88.52,18.408,86.224,103.52,0,82.04,4
56.48,19.296,95.296,9.296,93.944,83.24,6.296,58.24,1
47.44,16.976,97.464,5.952,95.976,69.76,7.976,52.44,0
63.52,20.352,92.352,10.352,90.352,86.76,2.528,60.88,2
50.08,18.016,94.016,8.016,92.024,80.04,5.016,55.04,1
69.92,20.992,92.992,10.992,90.992,89.96,3.488,62.48,2
80.36,22.096,90.048,12.12,88.048,95.12,0.048,65.24,3
46.28,16.512,96.768,5.024,95.512,65.12,7.512,51.28,0
52.48,18.496,94.496,8.496,92.744,81.24,5.496,56.24,1
96.512,26.512,85.64,17.256,82.768,100.64,0,76.28,4
84.2,23.12,90.56,13.4,88.56,96.4,0.56,67.8,3
96.736,26.736,85.92,17.368,83.104,100.92,0,76.84,4
90.2,24.72,91.36,15.4,89.36,98.4,1.36,71.8,3
67.04,20.704,92.704,10.704,90.704,88.52,3.056,61.76,2
64.32,20.432,92.432,10.432,90.432,87.16,2.648,61.08,2
88.4,24.24,91.12,14.8,89.12,97.8,1.12,70.6,3
89,24.4,91.2,15,89.2,98,1.2,71,3
57.92,19.584,95.584,9.584,94.376,83.96,6.584,58.96,1
57.6,19.52,95.52,9.52,94.28,83.8,6.52,58.8,1
49.84,17.936,98.904,7.872,96.936,79.36,8.936,54.84,0
54.4,18.88,94.88,8.88,93.32,82.2,5.88,57.2,1
93.68,25.648,91.824,16.56,89.824,99.56,1.824,74.12,3
83.84,23.024,90.512,13.28,88.512,96.28,0.512,67.56,3
48.16,17.264,97.896,6.528,96.264,72.64,8.264,53.16,0
60.32,20.032,92.032,10.032,90.032,85.16,2.048,60.08,2
97.472,27.472,86.84,17.736,84.208,101.84,0,78.68,4
99.008,29.008,88.76,18.504,86.512,103.76,0,82.52,4
82.64,22.704,90.352,12.88,88.352,95.88,0.352,66.76,3
55.76,19.152,95.152,9.152,93.728,82.88,6.152,57.88,1
60,20,92,10,90,85,2,60,2
87.44,23.984,90.992,14.48,88.992,97.48,0.992,69.96,3
90.8,24.88,91.44,15.6,89.44,98.6,1.44,72.2,3
86.84,23.824,90.912,14.28,88.912,97.28,0.912,69.56,3
58.4,19.68,95.68,9.68,94.52,84.2,6.68,59.2,1
45.64,16.256,96.384,4.512,95.256,62.56,7.256,50.64,0
91.04,24.944,91.472,15.68,89.472,98.68,1.472,72.36,3
68.16,20.816,92.816,10.816,90.816,89.08,3.224,62.04,2
63.68,20.368,92.368,10.368,90.368,86.84,2.552,60.92,2
49.72,17.888,98.832,7.776,96.888,78.88,8.888,54.72,0
51.76,18.352,94.352,8.352,92.528,80.88,5.352,55.88,1
46.4,16.56,96.84,5.12,95.56,65.6,7.56,51.4,0
76.48,21.648,93.648,11.648,91.648,93.24,4.472,64.12,2
52.72,18.544,94.544,8.544,92.816,81.36,5.544,56.36,1
87.56,24.016,91.008,14.52,89.008,97.52,1.008,70.04,3
67.68,20.768,92.768,10.768,90.768,88.84,3.152,61.92,2
51.68,18.336,94.336,8.336,92.504,80.84,5.336,55.84,1
47.64,17.056,97.584,6.112,96.056,70.56,8.056,52.64,0
47.56,17.024,97.536,6.048,96.024,70.24,8.024,52.56,0
97.408,27.408,86.76,17.704,84.112,101.76,0,78.52,4
98.656,28.656,88.32,18.328,85.984,103.32,0,81.64,4
83,22.8,90.4,13,88.4,96,0.4,67,3
96.992,26.992,86.24,17.496,83.488,101.24,0,77.48,4
50.72,18.144,94.144,8.144,92.216,80.36,5.144,55.36,1
60.64,20.064,92.064,10.064,90.064,85.32,2.096,60.16,2
50.48,18.096,94.096,8.096,92.144,80.24,5.096,55.24,1
48.64,17.456,98.184,6.912,96.456,74.56,8.456,53.64,0
76.64,21.664,93.664,11.664,91.664,93.32,4.496,64.16,2
99.776,29.776,89.72,18.888,87.664,104.72,0,84.44,4
96.384,26.384,85.48,17.192,82.576,100.48,0,75.96,4
73.28,21.328,93.328,11.328,91.328,91.64,3.992,63.32,2
89.24,24.464,91.232,15.08,89.232,98.08,1.232,71.16,3
93.8,25.68,91.84,16.6,89.84,99.6,1.84,74.2,3
46.6,16.64,96.96,5.28,95.64,66.4,7.64,51.6,0
58.88,19.776,95.776,9.776,94.664,84.44,6.776,59.44,1
98.048,28.048,87.56,18.024,85.072,102.56,0,80.12,4
97.984,27.984,87.48,17.992,84.976,102.48,0,79.96,4
86.48,23.728,90.864,14.16,88.864,97.16,0.864,69.32,3
73.12,21.312,93.312,11.312,91.312,91.56,3.968,63.28,2
92.36,25.296,91.648,16.12,89.648,99.12,1.648,73.24,3
54.48,18.896,94.896,8.896,93.344,82.24,5.896,57.24,1
52.4,18.48,94.48,8.48,92.72,81.2,5.48,56.2,1
91.64,25.104,91.552,15.88,89.552,98.88,1.552,72.76,3
56.16,19.232,95.232,9.232,93.848,83.08,6.232,58.08,1
57.52,19.504,95.504,9.504,94.256,83.76,6.504,58.76,1
76.16,21.616,93.616,11.616,91.616,93.08,4.424,64.04,2
86.72,23.792,90.896,14.24,88.896,97.24,0.896,69.48,3
48.88,17.552,98.328,7.104,96.552,75.52,8.552,53.88,0
96.96,26.96,86.2,17.48,83.44,101.2,0,77.4,4
57.44,19.488,95.488,9.488,94.232,83.72,6.488,58.72,1
99.904,29.904,89.88,18.952,87.856,104.88,0,84.76,4
56.08,19.216,95.216,9.216,93.824,83.04,6.216,58.04,1
65.76,20.576,92.576,10.576,90.576,87.88,2.864,61.44,2
71.36,21.136,93.136,11.136,91.136,90.68,3.704,62.84,2
50.24,18.048,94.048,8.048,92.072,80.12,5.048,55.12,1
85.28,23.408,90.704,13.76,88.704,96.76,0.704,68.52,3
68.64,20.864,92.864,10.864,90.864,89.32,3.296,62.16,2
96.864,26.864,86.08,17.432,83.296,101.08,0,77.16,4
99.968,29.968,89.96,18.984,87.952,104.96,0,84.92,4
46.72,16.688,97.032,5.376,95.688,66.88,7.688,51.72,0
57.12,19.424,95.424,9.424,94.136,83.56,6.424,58.56,1
98.176,28.176,87.72,18.088,85.264,102.72,0,80.44,4
94.88,25.968,91.984,16.96,89.984,99.96,1.984,74.92,3
68,20.8,92.8,10.8,90.8,89,3.2,62,2
49.88,17.952,98.928,7.904,96.952,79.52,8.952,54.88,0
46.64,16.656,96.984,5.312,95.656,66.56,7.656,51.64,0
50,18,94,8,92,80,5,55,1
63.36,20.336,92.336,10.336,90.336,86.68,2.504,60.84,2
55.28,19.056,95.056,9.056,93.584,82.64,6.056,57.64,1
45.76,16.304,96.456,4.608,95.304,63.04,7.304,50.76,0
53.76,18.752,94.752,8.752,93.128,81.88,5.752,56.88,1
55.04,19.008,95.008,9.008,93.512,82.52,6.008,57.52,1
92.12,25.232,91.616,16.04,89.616,99.04,1.616,73.08,3
90.68,24.848,91.424,15.56,89.424,98.56,1.424,72.12,3
88.04,24.144,91.072,14.68,89.072,97.68,1.072,70.36,3
50.88,18.176,94.176,8.176,92.264,80.44,5.176,55.44,1
67.2,20.72,92.72,10.72,90.72,88.6,3.08,61.8,2
58.32,19.664,95.664,9.664,94.496,84.16,6.664,59.16,1
91.52,25.072,91.536,15.84,89.536,98.84,1.536,72.68,3
88.64,24.304,91.152,14.88,89.152,97.88,1.152,70.76,3
77.76,21.776,93.776,11.776,91.776,93.88,4.664,64.44,2
51.04,18.208,94.208,8.208,92.312,80.52,5.208,55.52,1
91.16,24.976,91.488,15.72,89.488,98.72,1.488,72.44,3
71.52,21.152,93.152,11.152,91.152,90.76,3.728,62.88,2
77.6,21.76,93.76,11.76,91.76,93.8,4.64,64.4,2
98.944,28.944,88.68,18.472,86.416,103.68,0,82.36,4
58.72,19.744,95.744,9.744,94.616,84.36,6.744,59.36,1
92.84,25.424,91.712,16.28,89.712,99.28,1.712,73.56,3
46.12,16.448,96.672,4.896,95.448,64.48,7.448,51.12,0
63.84,20.384,92.384,10.384,90.384,86.92,2.576,60.96,2
82.88,22.768,90.384,12.96,88.384,95.96,0.384,66.92,3
53.6,18.72,94.72,8.72,93.08,81.8,5.72,56.8,1
90.56,24.816,91.408,15.52,89.408,98.52,1.408,72.04,3
98.432,28.432,88.04,18.216,85.648,103.04,0,81.08,4
97.888,27.888,87.36,17.944,84.832,102.36,0,79.72,4
82.28,22.608,90.304,12.76,88.304,95.76,0.304,66.52,3
98.304,28.304,87.88,18.152,85.456,102.88,0,80.76,4
99.872,29.872,89.84,18.936,87.808,104.84,0,84.68,4
49.4,17.76,98.64,7.52,96.76,77.6,8.76,54.4,0
60.96,20.096,92.096,10.096,90.096,85.48,2.144,60.24,2
71.2,21.12,93.12,11.12,91.12,90.6,3.68,62.8,2
84.68,23.248,90.624,13.56,88.624,96.56,0.624,68.12,3
97.568,27.568,86.96,17.784,84.352,101.96,0,78.92,4
70.72,21.072,93.072,11.072,91.072,90.36,3.608,62.68,2
70.4,21.04,93.04,11.04,91.04,90.2,3.56,62.6,2
63.2,20.32,92.32,10.32,90.32,86.6,2.48,60.8,2
98.112,28.112,87.64,18.056,85.168,102.64,0,80.28,4
66.72,20.672,92.672,10.672,90.672,88.36,3.008,61.68,2
54.96,18.992,94.992,8.992,93.488,82.48,5.992,57.48,1
85.04,23.344,90.672,13.68,88.672,96.68,0.672,68.36,3
75.04,21.504,93.504,11.504,91.504,92.52,4.256,63.76,2
49.56,17.824,98.736,7.648,96.824,78.24,8.824,54.56,0
61.6,20.16,92.16,10.16,90.16,85.8,2.24,60.4,2
75.68,21.568,93.568,11.568,91.568,92.84,4.352,63.92,2
48,17.2,97.8,6.4,96.2,72,8.2,53,0
53.12,18.624,94.624,8.624,92.936,81.56,5.624,56.56,1
63.04,20.304,92.304,10.304,90.304,86.52,2.456,60.76,2
48.32,17.328,97.992,6.656,96.328,73.28,8.328,53.32,0
47.6,17.04,97.56,6.08,96.04,70.4,8.04,52.6,0
81.68,22.448,90.224,12.56,88.224,95.56,0.224,66.12,3
47.52,17.008,97.512,6.016,96.008,70.08,8.008,52.52,0
66.4,20.64,92.64,10.64,90.64,88.2,2.96,61.6,2
70.24,21.024,93.024,11.024,91.024,90.12,3.536,62.56,2
68.8,20.88,92.88,10.88,90.88,89.4,3.32,62.2,2
53.68,18.736,94.736,8.736,93.104,81.84,5.736,56.84,1
93.44,25.584,91.792,16.48,89.792,99.48,1.792,73.96,3
51.52,18.304,94.304,8.304,92.456,80.76,5.304,55.76,1
86.6,23.76,90.88,14.2,88.88,97.2,0.88,69.4,3
46.44,16.576,96.864,5.152,95.576,65.76,7.576,51.44,0
55.68,19.136,95.136,9.136,93.704,82.84,6.136,57.84,1
64.96,20.496,92.496,10.496,90.496,87.48,2.744,61.24,2
89.6,24.56,91.28,15.2,89.28,98.2,1.28,71.4,3
58.24,19.648,95.648,9.648,94.472,84.12,6.648,59.12,1
71.04,21.104,93.104,11.104,91.104,90.52,3.656,62.76,2
99.52,29.52,89.4,18.76,87.28,104.4,0,83.8,4
85.64,23.504,90.752,13.88,88.752,96.88,0.752,68.76,3
48.12,17.248,97.872,6.496,96.248,72.48,8.248,53.12,0
98.4,28.4,88,18.2,85.6,103,0,81,4
57.68,19.536,95.536,9.536,94.304,83.84,6.536,58.84,1
47.48,16.992,97.488,5.984,95.992,69.92,7.992,52.48,0
98.368,28.368,87.96,18.184,85.552,102.96,0,80.92,4
99.232,29.232,89.04,18.616,86.848,104.04,0,83.08,4
55.84,19.168,95.168,9.168,93.752,82.92,6.168,57.92,1
97.632,27.632,87.04,17.816,84.448,102.04,0,79.08,4
54.8,18.96,94.96,8.96,93.44,82.4,5.96,57.4,1
92,25.2,91.6,16,89.6,99,1.6,73,3
49,17.6,98.4,7.2,96.6,76,8.6,54,0
90.44,24.784,91.392,15.48,89.392,98.48,1.392,71.96,3
48.6,17.44,98.16,6.88,96.44,74.4,8.44,53.6,0
49.08,17.632,98.448,7.264,96.632,76.32,8.632,54.08,0
97.024,27.024,86.28,17.512,83.536,101.28,0,77.56,4
68.48,20.848,92.848,10.848,90.848,89.24,3.272,62.12,2
82.04,22.544,90.272,12.68,88.272,95.68,0.272,66.36,3
45,16,96,4,95,60,7,50,0
80.24,22.064,90.032,12.08,88.032,95.08,0.032,65.16,3
47.4,16.96,97.44,5.92,95.96,69.6,7.96,52.4,0
91.4,25.04,91.52,15.8,89.52,98.8,1.52,72.6,3
62.72,20.272,92.272,10.272,90.272,86.36,2.408,60.68,2
84.08,23.088,90.544,13.36,88.544,96.36,0.544,67.72,3
59.2,19.84,95.84,9.84,94.76,84.6,6.84,59.6,1
47.76,17.104,97.656,6.208,96.104,71.04,8.104,52.76,0
45.68,16.272,96.408,4.544,95.272,62.72,7.272,50.68,0
100,30,90,19,88,105,0,85,4
91.28,25.008,91.504,15.76,89.504,98.76,1.504,72.52,3
97.088,27.088,86.36,17.544,83.632,101.36,0,77.72,4
46.24,16.496,96.744,4.992,95.496,64.96,7.496,51.24,0
49.24,17.696,98.544,7.392,96.696,76.96,8.696,54.24,0
96.704,26.704,85.88,17.352,83.056,100.88,0,76.76,4
70.88,21.088,93.088,11.088,91.088,90.44,3.632,62.72,2
52.08,18.416,94.416,8.416,92.624,81.04,5.416,56.04,1
96,26,85,17,82,100,0,75,4
79.2,21.92,93.92,11.92,91.92,94.6,4.88,64.8,2
69.12,20.912,92.912,10.912,90.912,89.56,3.368,62.28,2
96.544,26.544,85.68,17.272,82.816,100.68,0,76.36,4
79.36,21.936,93.936,11.936,91.936,94.68,4.904,64.84,2
74.08,21.408,93.408,11.408,91.408,92.04,4.112,63.52,2
98.272,28.272,87.84,18.136,85.408,102.84,0,80.68,4
46.92,16.768,97.152,5.536,95.768,67.68,7.768,51.92,0
64.48,20.448,92.448,10.448,90.448,87.24,2.672,61.12,2
49.52,17.808,98.712,7.616,96.808,78.08,8.808,54.52,0
57.76,19.552,95.552,9.552,94.328,83.88,6.552,58.88,1
96.096,26.096,85.12,17.048,82.144,100.12,0,75.24,4
96.224,26.224,85.28,17.112,82.336,100.28,0,75.56,4
74.56,21.456,93.456,11.456,91.456,92.28,4.184,63.64,2
86.96,23.856,90.928,14.32,88.928,97.32,0.928,69.64,3
64,20.4,92.4,10.4,90.4,87,2.6,61,2
46,16.4,96.6,4.8,95.4,64,7.4,51,0
96.256,26.256,85.32,17.128,82.384,100.32,0,75.64,4
96.928,26.928,86.16,17.464,83.392,101.16,0,77.32,4
91.76,25.136,91.568,15.92,89.568,98.92,1.568,72.84,3
54.64,18.928,94.928,8.928,93.392,82.32,5.928,57.32,1
98.528,28.528,88.16,18.264,85.792,103.16,0,81.32,4
98.912,28.912,88.64,18.456,86.368,103.64,0,82.28,4
99.104,29.104,88.88,18.552,86.656,103.88,0,82.76,4
55.44,19.088,95.088,9.088,93.632,82.72,6.088,57.72,1
57.2,19.44,95.44,9.44,94.16,83.6,6.44,58.6,1
99.456,29.456,89.32,18.728,87.184,104.32,0,83.64,4
